DOPABANE,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,,,,
DOPACRIS,MEDICAMENTOS C/ ACAO NO MIOCARDIO,CLORIDRATO DE DOPAMINA,,,
DOPAMET,ANTI-HIPERTENSIVOS SIMPLES,,,,
DOPAMINA,VASOCONSTRITORES E HIPERTENSORES,,,,
DOPAMOL,HIPERTENSOR,,,,
DOPATIL,VASOCONSTRITORES E HIPERTENSORES,,,,
DOPCOR HCT,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
DOPCYM,ANTIBACTERIANO,DAPTOMICINA,,,
DOPIMEX,OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR,,,,
DOPLAFEX,VASOCONSTRITORES E HIPERTENSORES,,,,
DOPO,ANTICONCEPCIONAIS,,,,
DOPROPIZINA,ANTITUSSIGENOS,DROPROPIZINA,,,
DOR - FRIX,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
DORALEX,ANALGESICOS NAO NARCOTICOS,DIPIRONA MONOIDRATADA,,,
DORALFEBRE,ANALGESICOS NAO NARCOTICOS,,,,
DORALFEN,ANALGESICOS NAO NARCOTICOS,,,,
DORALGEX,RELAXANTES MUSCULARES CENTRAIS SIMPLES,,,,
DORALGIN,ANALGESICOS NAO NARCOTICOS,,,,
DORALGINA,ANALGESICOS + ANALGESICOS NAO NARCOTICOS,,,,
DORALGINA DIPCAF,,CAFEÍNA +  DIPIRONA MONOIDRATADA,,,
DORALIV,ANALGESICOS NAO NARCOTICOS,,,,
DORALIV GEL ORAL,ANALGESICOS NAO NARCOTICOS,,,,
DORALSTOP,ANALGESICOS NAO NARCOTICOS,,,,
DORALVITA,ANTI-HISTAMINICOS SISTEMICOS,,,,
DORAMOL,ANALGESICOS NAO NARCOTICOS,,,,
DORANOL,ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS,,,,
DORANOL COMPOSTO,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,,,,
DORAPLAX,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
DORATYL,ANALGESICOS,,,,
DORCAÍNA,ANESTESICOS LOCAIS,,,,
DORCIFLEXIN,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,,,,
DORDENTE,ANESTESICOS LOCAIS,FENOL +  PROCAÍNA,,,
DORENE LÍQUIDO,ANTICONVULSIVANTES,PREGABALINA,,,
DORENE TABS,ANTICONVULSIVANTES,PREGABALINA,,,
DORENZYME,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
DORETRIM,ANTINFLAMATORIOS,,,,
DORFEBRIL,ANALGESICOS NAO NARCOTICOS,DIPIRONA,,,
DORFEN,ANALGESICOS NAO NARCOTICOS,PARACETAMOL,,,
DORFENOL,ANALGESICOS NAO NARCOTICOS,PARACETAMOL,,,
DORFEÍNA,ANALGESICOS NAO NARCOTICOS,,,,
DORFLAN,ANTINFLAMATORIOS ANTIREUMATICOS,DICLOFENACO DIETILAMÔNIO,,,
DORFLEX,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,,,,
DORFLEX UNO,ANALGESICOS NAO NARCOTICOS,,,,
DORGEN,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
DORGEX,ANALGESICOS,CÂNFORA +  MENTOL +  SALICILATO DE METILA,,,
DORGIL,ANALGESICOS NAO NARCOTICOS,,,,
DORIBEL,ANALGESICOS,,,,
DORICAL KIDS,POLIVITAMINICOS COM MINERAIS,,,,
DORICIN,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,CAFEÍNA ANIDRA +  CITRATO DE ORFENADRINA +  DIPIRONA MONOIDRATADA,,,
DORICIN UNO,ANALGESICOS NAO NARCOTICOS,DIPIRONA MONOIDRATADA,,,
DORIDINA,ANALGESICOS CONTRA ENXAQUECA,,,,
DORIFLAN,ANALGESICOS,,,,
DORIGREN,ANALGESICOS NAO NARCOTICOS,,,,
DORIL,ANALGESICOS NAO NARCOTICOS,,,,
DORIL C,ANALGESICOS NAO NARCOTICOS,,,,
DORIL DC 500,ANALGESICOS NAO NARCOTICOS,CAFEÍNA +  DIPIRONA MONOIDRATADA,,,
DORIL ENXAQUECA,ANALGESICOS NAO NARCOTICOS,CAFEÍNA +  PARACETAMOL +  ÁCIDO ACETILSALICÍLICO,,,
DORILAN,ANALGESICOS NAO NARCOTICOS,,,,
DORILAX,RELAXANTES MUSCULARES CENTRAIS SIMPLES,CAFEÍNA +  CARISOPRODOL +  PARACETAMOL,,,
DORILAX DF,ANALGESICOS NAO NARCOTICOS,PARACETAMOL,,,
DORILEN,ANALGESICOS NAO NARCOTICOS,,,,
DORILEN DIP,ANALGESICOS NAO NARCOTICOS,DIPIRONA MONOIDRATADA,,,
DORILESS,ANALGESICOS NAO NARCOTICOS,CLORIDRATO DE ADIFENINA +  CLORIDRATO DE PROMETAZINA +  DIPIRONA +  DIPIRONA MONOIDRATADA,,,
DORINE,ANALGESICOS,,,,
DORIPREX,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DORISAN,ANALGESICOS NAO NARCOTICOS,,,,
DORMANT,HIPNOTICOS,,,,
DORMEC,ANALGESICOS NAO NARCOTICOS,ACIDO ACETILSALICILICO,,,
DORMELOX,ANTINFLAMATORIOS,,,,
DORMIRE,ANSIOLITICOS SIMPLES,CLORIDRATO DE MIDAZOLAM +  MALEATO DE MIDAZOLAM,,,
DORMIUM,ANSIOLITICOS SIMPLES,MIDAZOLAM,,,
DORMONID,HIPNOTICOS,,,,
DORNAL,ANALGESICOS NAO NARCOTICOS,,,,
DORNIL,ANALGESICOS NAO NARCOTICOS,,,,
DORNOT,ANALGESICOS NARCOTICOS,CLORIDRATO DE PETIDINA,,,
DORONA,ANALGESICOS NAO NARCOTICOS,,,,
DORONA CAFI,ANALGESICOS NAO NARCOTICOS,,,,
DORPIDINA,ANALGESICOS NAO NARCOTICOS,,,,
DORPINON,ANALGESICOS NAO NARCOTICOS,,,,
DORPIRONA,ANALGESICOS,,,,
DORSANOL,ANALGESICOS NAO NARCOTICOS,PARACETAMOL,,,
DORSCOPENA,ANALGESICOS NAO NARCOTICOS,,,,
DORSEDIN,ANALGESICOS,,,,
DORSEROL,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,,,,
DORSPAN,ANTIESPASMODICOS,BUTILBROMETO DE ESCOPOLAMINA +  DIPIRONA,,,
DORTERMIN,ANALGESICOS NAO NARCOTICOS,,,,
DORTRIRELAX,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,CAFEÍNA ANIDRA +  CITRATO DE ORFENADRINA +  DIPIRONA,,,
DORYDRIN,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,,,,
DORZAL,ANTIGLAUCOMATOSOS,CLORIDRATO DE DORZOLAMIDA,,,
DORZAL MT,ANTIGLAUCOMATOSOS,CLORIDRATO DE DORZOLAMIDA +  MALEATO DE TIMOLOL,,,
DORZONE,ANALGESICOS,,,,
DOSAPLATIN,ANTINEOPLASICO,,,,
DOSATAXEL,ANTINEOPLASICO,DOCETAXEL,,,
DOSATECAN,ANTINEOPLASICO,,,,
DOSS,ANALOGO SINTETICO DA VITAMINA D,COLECALCIFEROL,,,
DOSTINEX,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,,,,
DOT-IPEN-177,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,OCTREOTATO TETRAXETANA (177  LU),,,
DOTAREM,CONTRASTES RADIOLOGICOS,ÁCIDO GADOTÉRICO,,,
DOTYNOL AP,ANALGESICOS NAO NARCOTICOS,,,,
DOU-CETOFEN,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
DOVATO,ANTIRETROVIRAL,LAMIVUDINA +  DOLUTEGRAVIR SÓDICO,,,
DOVÁSC,ANTITROMBOTICO,CILOSTAZOL,,,
DOXAL,POLIVITAMINICOS SEM MINERAIS,,,,
DOXANEO,ANTI-HIPERTENSIVOS SIMPLES,MESILATO DE DOXAZOSINA,,,
DOXAPROST,ANTI-HIPERTENSIVOS,MESILATO DE DOXAZOSINA,,,
DOXATIVO,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,MESILATO DE DOXAZOSINA,,,
DOXELIB,ANTINEOPLASICO,,,,
DOXICICLINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DOXICILIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DOXICLIN,ANTIBIOTICOS SISTEMICOS SIMPLES,CLORIDRATO DE DOXICICLINA,,,
DOXILEGRAND,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DOXILINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DOXIMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DOXO - BIG,ANTINEOPLASICOS CITOTOXICOS,,,,
DOXOBITON,ANTINEOPLASICOS CITOTOXICOS,,,,
DOXOFIL,ANTIBIOTICOS ANTINEOPLASICOS,,,,
DOXOFILINA,PRODUTO PARA O APARELHO RESPIRATORIO,,,,
DOXOLEM,ANTIBIOTICOS ANTINEOPLASICOS,,,,
DOXOPEG,ANTIBIOTICOS ANTINEOPLASICOS,CLORIDRATO DE DOXORRUBICINA,,,
DOXORRUBICINA,ANTINEOPLASICOS CITOTOXICOS,,,,
DOXORRUBICINA INJETÁVEL,ANTIBIOTICOS ANTINEOPLASICOS,,,,
DOXPROVIR,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,MESILATO DE DOXAZOSINA,,,
DOXSOL,ANTI-HIPERTENSIVOS,,,,
DOXTREX,HORMONIOS CORTICOSTEROIDES,,,,
DOXURAN,ANTI-HIPERTENSIVOS,MESILATO DE DOXAZOSINA,,,
DOXXO,ANTINEOPLASICO,,,,
DOZELIN COMPLEXO,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,,,,
DOZOITO,BETABLOQUEADORES SIMPLES,,,,
DPHAR,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
DPREV,VITAMINAS,,,,
DPREV CAPS,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
DPREV GOTAS,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
DR THEISS C VITA,MONOVITAMINAS EXCETO VITAMINA K,,,,
DRAMAVIT,ANTI-HISTAMINICOS SISTEMICOS,,,,
DRAT,REIDRATANTES ORAIS,,,,
DRAXX B6,ANTIEMETICOS E ANTINAUSEANTES,,,,
DRENALIB,VASOCONSTRITORES E HIPERTENSORES,,,,
DRENAREUMA,MEDICAMENTOS DINAMIZADOS COMPOSTOS,,,,
DRENATAN,PROSTAGLANDINAS,LATANOPROSTA,,,
DRENIDRA,DIURETICOS,,,,
DRENIFORMIO,ANTIMICOTICOS PARA USO TOPICO,CLIOQUINOL +  FLUDROXICORTIDA,,,
DRENISON,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,FLUDROXICORTIDA +  FLUDOXICORTIDA,,,
DRENISON N,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,FLUDROXICORTIDA +  SULFATO DE NEOMICINA +  FLUDOXICORTIDA,,,
DRENOGRIP,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,CAFEÍNA +  DIPIRONA +  MALEATO DE CLORFENIRAMINA,,,
DRENOL,DIURETICOS SIMPLES,,,,
DRENOVAC,ANTIBIOTICOS SISTEM -ASSOC  MEDIC  ENTRE ANTINFEC,,,,
DRICS,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE HIDROXIZINA,,,
DRILYNA,BRONCODILATADORES,,,,
DRIPANINA,ANTITROMBOTICO,,,,
DRIXI,ANTI-HISTAMINICOS SISTEMICOS,,,,
DRONALEM,SUPRESSORES DA REABSORCAO OSSEA,,,,
DRONIK,ANTINEOPLASICO + SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO +  ÁCIDO ZOLEDRÔNICO MONOIDRATADO,,,
DROPERDAL,ANTIEMETICOS E ANTINAUSEANTES,DROPERIDOL,,,
DROPERIDOL (PORT. 344/98 LISTA C1),NEUROLEPTICOS,,,,
DROPROPIZINA,ANTITUSSIGENOS,DROPROPIZINA,,,
DROPSTOS,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
DROPTIM,ANTIGLAUCOMATOSOS,MALEATO DE TIMOLOL,,,
DROPTOSS,ANTITUSSIGENOS,,,,
DROPY-D,ANALOGO SINTETICO DA VITAMINA D,COLECALCIFEROL,,,
DROSPIRENONA + ETINILESTRADIOL,ANTICONCEPCIONAIS,DROSPIRENONA +  ETINILESTRADIOL,,,
DROSPIRENONA / ETINILESTRADIOL,ANTICONCEPCIONAIS,,,,
DROSPIRENONA+ ETINILESTRADIOL,ANTICONCEPCIONAIS,,,,
DROSPIRENONA+ETINILESTRADIOL,ANTICONCEPCIONAIS,,,,
DROTIZIN,ANTI-HISTAMINICOS SISTEMICOS,DICLORIDRATO DE HIDROXIZINA,,,
DROX GEL,ANTIACIDO,,,,
DROXAINE,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,HIDRÓXIDO DE ALUMÍNIO +  HIDRÓXIDO DE MAGNÉSIO +  OXETACAÍNA,,,
DROXIUREIA,ANTINEOPLASICO,,,,
DROXLAB,CEFALOSPORINAS,,,,
DROXY,ANTI-HISTAMINICOS SISTEMICOS,DICLORIDRATO DE HIDROXIZINA,,,
DRULOSOL,ANTIGLAUCOMATOSOS,,,,
DRUSOLOL,ANTIGLAUCOMATOSOS,CLORIDRATO DE DORZOLAMIDA +  MALEATO DE TIMOLOL,,,
DRY,ANTIESPASMODICOS,CLORIDRATO DE OXIBUTININA,,,
DRYLTAC,ANTINFLAMATORIOS,,,,
DRÁGEAS DE CAPEBA KLYDONT,COLAGOGOS E COLERETICOS,,,,
DS 500,ANALGESICOS NAO NARCOTICOS,,,,
DTN-FOL,VITAMINAS E SUPLEMENTOS MINERAIS,ACETATO DE DEXTROALFATOCOFEROL +  ÁCIDO FÓLICO,,,
DUAL,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA,,,
DUALID S,ANOREXICOS SIMPLES,,,,
DUAPETITE,POLIVITAMINICOS SEM MINERAIS,,,,
DUATLO,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA,,,
DUCILAMINA,ANTIALERGICOS TOPICOS,CLORIDRATO DE DIFENIDRAMINA,,,
DUCODIL,LAXANTES IRRITANTES OU ESTIMULANTES,BISACODIL,,,
DUCOX,ANTINFLAMATORIOS,,,,
DUCTELMIN,ANTIPARASITARIOS,,,,
DUCTOCILINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DUCTOGEL,ANTIACIDO,,,,
DUCTOGERON,ANTIANGINOSOS E VASODILATADORES,,,,
DUCTOMET,ANTI-HIPERTENSIVOS SIMPLES,,,,
DUCTOPRIL,ANTI-HIPERTENSIVOS,,,,
DUCTOQUINASE,ANTITROMBOTICO,,,,
DUCTOVERAN,ANTIESPASMODICOS,,,,
DUCTOVIRAX,ANTIVIROTICOS,,,,
DUEFORZI,ANTINFLAMATORIOS ANTIREUMATICOS,,,,
DUELLE,PRODUTOS ANTI-ACNE,ACETATO DE CIPROTERONA +  ETINILESTRADIOL,,,
DUETTO,ANTIASMATICOS,BUDESONIDA +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,,
DUGAR,ANTIBIOTICOS SISTEMICOS SIMPLES,TIGECICLINA,,,
DULCOFITO,FITOTERAPICO COMPOSTO + LAXANTES,CASSIA FISTULA L. +  SENNA ALEXANDRINA MILL.,,,
DULCOLAX,LAXANTES IRRITANTES OU ESTIMULANTES,,,,
DULCOLAX GOTAS,LAXANTES IRRITANTES OU ESTIMULANTES,PICOSSULFATO DE SÓDIO MONOIDRATADO,,,
DULLO,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA,,,
DULORGRAN,ANTIDEPRESSIVOS,CLORIDRATO DE DULOXETINA,,,
DUNASON,EMOLIENTES E PROTETORES OFTALMICOS,,,,
DUNIA 35,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
DUO DECADRON,GLICOCORTICOIDES SISTEMICOS,,,,
DUO-DECADRON,GLICOCORTICOIDES SISTEMICOS,ACETATO DE DEXAMETASONA +  FOSFATO DISSÓDICO DE DEXAMETASONA,,,
DUO-TRAVATAN,ANTIGLAUCOMATOSOS,,,,
DUOACT,ANTINFLAMATORIOS ANTIREUMATICOS,NAPROXENO SÓDICO,,,
DUOCEF,CEFALOSPORINAS,,,,
DUODEN,FITOTERAPICO SIMPLES,,,,
DUODEX,ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO,DEXAMETASONA +  CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,,,
DUODOPA CR,ANTIPARKINSONIANOS,,,,
DUOFILM,CERATOLITICOS E CERATOPLASTICOS,,,,
DUOFLAM,GLICOCORTICOIDES SISTEMICOS,DIPROPIONATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA,,,
DUOMO,ANTI-HIPERTENSIVOS,MESILATO DE DOXAZOSINA,,,
DUOMO HP,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,FINASTERIDA +  MESILATO DE DOXAZOSINA,,,
DUOPRIL,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
DUOQUEL,ANTIPSICOTICOS,,,,
DUOSOL COM POTÁSSIO,PRODUTOS PARA HEMODIALISE,BICARBONATO DE SÓDIO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  GLICOSE MONOHIDRATADA +  CLORETO DE CÁLCIO DIIDRATADO,,,
DUOSOL SEM POTÁSSIO,PRODUTOS PARA HEMODIALISE,BICARBONATO DE SÓDIO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE SÓDIO +  GLICOSE MONOIDRATADA +  CLORETO DE CÁLCIO DIIDRATADO,,,
DUOTRAT,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,,,,
DUOVENT,BRONCODILATADORES,BROMETO DE IPRATRÓPIO +  BROMIDRATO DE FENOTEROL,,,
DUOZOL,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
DUPHALAC,LAXANTES,,,,
DUPHASTON,PROGESTAGENOS SIMPLES,,,,
DUPLAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
DUPLIVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
DURAMOX,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
DURAPEN,PENICILINA DE AMPLO ESPECTRO,,,,
DURATESTON,ANDROGENOS-ASSOCIACOES MEDICAMENTOSAS,,,,
DURATOCIN,OCITOCICOS HORMONAIS,,,,
DUROGESIC,ANALGESICOS NARCOTICOS,FENTANILA,,,
DUSODRIL,VASODILATADORES PERIFERICOS,,,,
DUSPATALIN,ANTIESPASMODICOS,,,,
DUTAM,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE TANSULOSINA +  DUTASTERIDA,,,
DUTASTERIDA,INIBIDOR DA ALFA-REDUTASE,,,,
DUTASTERIDA + CLORIDRATO DE TANSULOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,CLORIDRATO DE TANSULOSINA +  DUTASTERIDA,,,
DUXIDINA,ANTISSEPTICO,,,,
DUXIO,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES",ÁCIDO URSODESOXICÓLICO,,,
DUZIMICIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
DVITERD3,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
DVITTA,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
DYATIL,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
DYNAMISAN,POLIVITAMINICOS COM MINERAIS,,,,
DYPYROL,ANALGESICOS NAO NARCOTICOS,,,,
DYRAJAIA,FITOTERAPICO COMPOSTO,,,,
DYSPNÉ-INHAL,BRONCODILATADORES,,,,
DYSPORT,AGENTE PARALISANTE NEUROMUSCULAR,,,,
Dacogen,ANTINEOPLASICOS CITOTOXICOS,DECITABINA,,,
Daklinza,ANTIVIRAIS,,,,
DePURA,VITAMINAS,,,,
Deci,ANTINEOPLASICOS CITOTOXICOS,DECITABINA,,,
Deflanil,GLICOCORTICOIDES SISTEMICOS,,,,
Delumi,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
Demi-D,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
Depocyt,ANTINEOPLASICO,,,,
Dermovagin,ANTIMICOTICOS PARA USO TOPICO,NITRATO DE MICONAZOL +  TINIDAZOL,,,
Desarcor,ANTI-HIPERTENSIVOS,,,,
Descon,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
Descovy,ASSOCIAÇÕES DE ANTIVIRÓTICOS PARA O TRATAMENTO DE INFECÇÕES POR HIV,HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA +  ENTRICITABINA,,,
Desloratadina,ANTI-HISTAMINICOS SISTEMICOS,,,,
Desloratadina + Sulfato de pseudoefedrina,ANTI-HISTAMINICOS SISTEMICOS,,,,
Desonida,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
Desoskin,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,DESONIDA,,,
Dexa-Citoneurin NFF,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  FOSFATO DISSÓDICO DE DEXAMETASONA,,,
Dexlla,HIPNOTICOS,CLORIDRATO DE DEXMEDETOMIDINA,,,
Dezodix,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,,,,
DiGOXINA,GLICOSIDEOS CARDIACOS,,,,
Diclofan® Gel,ANTINFLAMATORIOS,DICLOFENACO DIETILAMÔNIO,,,
Diclofenaco Dietilamônio,ANTINFLAMATORIOS,,,,
Diclofenaco dietilamônio,ANTINFLAMATORIOS,,,,
Diclofenaco potássico,ANTINFLAMATORIOS,DICLOFENACO POTÁSSICO,,,
Diflumid,DIURETICOS SIMPLES,FUROSEMIDA,,,
Digoxina,GLICOSIDEOS CARDIACOS,DIGOXINA,,,
Diluente Bacteriostático,"SOLVENTES E AGENTES DILUENTES, INCLUINDO SOLUÇÕES PARA IRRIGAÇÃO",ÁLCOOL BENZÍLICO,,,
Dimeticona,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,,,,
Dimeticona + Metilbrometo de homatropina,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,,,,
Dinitrato de Isossorbida,NITRITOS NITRATOS E SEMELHANTES,,,,
Dipirona Sodica+ Cloridrato de Isometeptano+Cafeina,ANALGESICOS NAO NARCOTICOS,,,,
Dipirona Sódica,ANALGESICOS NAO NARCOTICOS,,,,
Dipirona sodica,ANALGESICOS NAO NARCOTICOS,,,,
Dipirona sódica,ANALGESICOS NAO NARCOTICOS,,,,
Dipropionato de Betametasona + Sulfato de Gentamicina,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,DIPROPIONATO DE BETAMETASONA +  SULFATO DE GENTAMICINA,,,
Distin,ANTILIPEMICOS,,,,
Divalproato de Sódio,ANTICONVULSIVANTES,DIVALPROATO DE SÓDIO,,,
Divalproato de sódio,ANTICONVULSIVANTES,DIVALPROATO DE SÓDIO,,,
Docetaxel,ANTINEOPLASICO,,,,
Docetaxel tri-hidratado,ANTINEOPLASICO,,,,
Dogmatil,NEUROLEPTICOS,,,,
Domperidona,ANTIEMETICOS E ANTINAUSEANTES,,,,
Dorene,ANTICONVULSIVANTES,PREGABALINA,,,
Dorilax DT,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,CAFEÍNA ANIDRA +  CITRATO DE ORFENADRINA +  PARACETAMOL,,,
Dorscetel,ANTIESPASMODICOS,,,,
Dozemast,MONOVITAMINAS EXCETO VITAMINA K,MECOBALAMINA,,,
Dramavit,ANTIEMETICOS E ANTINAUSEANTES,DIMENIDRINATO,,,
Dramavit B6,ANTIEMETICOS E ANTINAUSEANTES,,,,
Dramin,ANTIEMETICOS E ANTINAUSEANTES,,,,
Dramin B6,ANTIEMETICOS E ANTINAUSEANTES,,,,
Dramin B6 DL,ANTIEMETICOS E ANTINAUSEANTES,,,,
Duaklir Genuair,"ADRENÉRGICOS, PARA INALAÇÃO + AGENTES CONTRA DOENÇAS OBSTRUTIVAS DAS VIAS AÉREAS + SISTEMA RESPIRATÓR",BROMETO DE ACLIDÍNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,,
Duavive,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ESTROGÊNIOS CONJUGADOS +  ACETATO DE BAZEDOXIFENO,,,
Duoplavix,OUTROS PRODUTOS COM ACAO NO APARELHO CARDIOVASCULAR,,,,
Dupixent,IMUNOMODULADOR,,,,
Dupla,ANTIRETROVIRAL,LAMIVUDINA +  FUMARATO DE TENOFOVIR DESOPROXILA,,,
Dymista,DESCONGESTIONANTES NASAIS TOPICOS,,,,
Dynepo,ANTIANEMICOS,,,,
DÁIVA,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
DÊLUX,VITAMINA D E ANÁLOGOS,COLECALCIFEROL,,,
DÔRICO,ANALGESICOS NAO NARCOTICOS,,,,
Dôrico Cafi,ANALGESICOS NAO NARCOTICOS,,,,
DORTO,SUPRESSORES DA REABSORCAO OSSEA,RISEDRONATO SÓDICO,,,
E 400 IU,MONOVITAMINAS EXCETO VITAMINA K,,,,
E-TABS,MONOVITAMINAS EXCETO VITAMINA K,,,,
E-VIT,MONOVITAMINAS EXCETO VITAMINA K,,,,
EACA BALSÂMICO,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
EBASTEL,ANTI-HISTAMINICOS SISTEMICOS,EBASTINA,,,
EBASTEL D,ANTI-HISTAMINICOS SISTEMICOS,,,,
EBASTIM,ANTI-HISTAMINICOS SISTEMICOS,,,,
EBASTINE,ANTI-HISTAMINICOS SISTEMICOS,,,,
EBATZ,ANTILIPEMICOS,PITAVASTATINA CÁLCICA,,,
EBIX,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE MEMANTINA,,,
EBROLIN,BRONCODILATADORES,,,,
EBYMECT,ANTIDIABETICOS,CLORIDRATO DE METFORMINA +  PROPILENOGLICOLATO DE DAPAGLIFLOZINA MONOIDRATADO,,,
ECALTA,ANTI-FUNGICOS,,,,
ECASE,ANTI-FUNGICOS,,,,
ECASIL-81,ANALGESICOS NAO NARCOTICOS,ACIDO ACETILSALICILICO,,,
ECATOR,ANTI-HIPERTENSIVOS,,,,
ECATOR ANLO,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
ECATOR H,ANTI-HIPERTENSIVOS,,,,
ECD-TEC,,DICLORIDRATO DE ETILENODICISTEÍNA DIETILÉSTER,,,
